n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
215,-21.0,-21.0,-21.0,1018.27,13188.049
216,-21.0,-21.0,-21.0,1017.98,13191.063
217,-21.0,-21.0,-21.0,1018.03,13191.14
218,-21.0,-21.0,-21.0,1018.23,13180.948
219,-21.0,-21.0,-21.0,1017.84,13170.057
220,-21.0,-21.0,-21.0,1017.84,13168.122
221,-21.0,-21.0,-21.0,1018.25,13175.509
222,-21.0,-21.0,-21.0,1018.43,13186.932
223,-21.0,-21.0,-21.0,1018.73,13180.912
224,-21.0,-21.0,-21.0,1018.86,13175.259
225,-21.0,-21.0,-21.0,1018.65,13165.593
226,-21.0,-21.0,-21.0,1017.74,13166.398
227,-21.0,-21.0,-21.0,1017.71,13170.886
228,-21.0,-21.0,-21.0,1017.47,13173.087
229,-21.0,-21.0,-21.0,1017.55,13178.255
230,-21.0,-21.0,-21.0,1017.55,13175.138
231,-21.0,-21.0,-21.0,1017.16,13165.256
232,-21.0,-21.0,-21.0,1017.39,13156.44
233,-21.0,-21.0,-21.0,1017.31,13146.139
234,-21.0,-21.0,-21.0,1017.37,13153.275
235,-21.0,-21.0,-21.0,1017.31,13152.286
236,-21.0,-21.0,-21.0,1017.12,13145.063
237,-21.0,-21.0,-21.0,1016.97,13150.382
238,-21.0,-21.0,-21.0,1016.68,13144.327
239,-21.0,-21.0,-21.0,1016.92,13146.353
240,-21.0,-21.0,-21.0,1017.1,13151.435
241,-21.0,-21.0,-21.0,1017.61,13151.724
242,-21.0,-21.0,-21.0,1017.84,13149.498
243,-21.0,-21.0,-21.0,1018.01,13158.942
244,-21.0,-21.0,-21.0,1017.61,13163.794
245,-21.0,-21.0,-21.0,1017.72,13163.676
246,-21.0,-21.0,-21.0,1018.14,13169.124
247,-21.0,-21.0,-21.0,1018.76,13162.946
248,-21.0,-21.0,-21.0,1018.92,13168.465
249,-21.0,-21.0,-21.0,1019.56,13175.657
250,-21.0,-21.0,-21.0,1019.46,13175.991
251,-21.0,-21.0,-21.0,1019.31,13194.416
252,-21.0,-21.0,-21.0,1019.9,13184.198
