n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
291,-19.0,-16.28,-12.0,1982.12,14087.405
292,-19.0,-16.27,-12.0,1983.99,14075.524
293,-20.0,-16.36,-12.0,1972.17,14079.598
294,-20.0,-16.36,-12.0,1973.4,14067.871
295,-20.0,-16.38,-12.0,1966.79,14071.29
296,-20.0,-16.32,-12.0,1977.42,14073.379
297,-20.0,-16.29,-12.0,1978.32,14072.614
298,-20.0,-16.37,-12.0,1972.32,14070.207
299,-20.0,-16.41,-12.0,1965.57,14072.099
300,-20.0,-16.45,-12.0,1959.34,14063.023
301,-20.0,-16.43,-12.0,1961.02,14059.504
302,-20.0,-16.42,-12.0,1961.86,14072.647
303,-20.0,-16.41,-12.0,1965.92,14074.325
304,-20.0,-16.42,-12.0,1962.45,14078.718
305,-21.0,-16.45,-12.0,1958.7,14077.049
306,-21.0,-16.47,-12.0,1957.71,14077.352
307,-21.0,-16.42,-12.0,1965.45,14073.308
308,-21.0,-16.43,-12.0,1966.0,14077.252
309,-21.0,-16.44,-12.0,1966.4,14073.16
310,-21.0,-16.42,-12.0,1973.13,14083.304
311,-21.0,-16.42,-12.0,1980.54,14083.813
312,-21.0,-16.37,-12.0,1987.24,14083.679
313,-21.0,-16.37,-12.0,1987.87,14078.174
314,-21.0,-16.39,-12.0,1984.0,14090.431
315,-21.0,-16.34,-12.0,1989.61,14092.305
316,-21.0,-16.34,-12.0,1989.61,14090.676
317,-21.0,-16.33,-12.0,1988.88,14104.125
318,-21.0,-16.31,-12.0,1989.08,14097.942
319,-21.0,-16.31,-12.0,1989.08,14101.859
320,-21.0,-16.32,-12.0,1988.11,14106.528
321,-21.0,-16.23,-10.0,1998.24,14099.502
322,-21.0,-16.23,-10.0,1998.24,14085.946
323,-21.0,-16.26,-10.0,1996.55,14092.567
324,-21.0,-16.32,-10.0,1989.11,14080.987
325,-21.0,-16.38,-10.0,1984.21,14073.15
326,-21.0,-16.38,-10.0,1984.21,14075.363
327,-21.0,-16.51,-10.0,1972.25,14066.332
328,-21.0,-16.53,-10.0,1971.59,14067.309
329,-21.0,-16.53,-10.0,1971.59,14064.728
330,-21.0,-16.56,-10.0,1973.57,14067.68
331,-21.0,-16.54,-10.0,1973.97,14079.28
332,-21.0,-16.51,-10.0,1976.56,14088.643
333,-21.0,-16.44,-10.0,1986.22,14081.908
334,-21.0,-16.42,-10.0,1992.82,14078.36
335,-21.0,-16.41,-10.0,1994.81,14081.768
336,-21.0,-16.41,-10.0,1993.67,14081.653
337,-21.0,-16.41,-10.0,1994.9,14087.86
338,-21.0,-16.4,-10.0,1993.74,14090.496
339,-21.0,-16.42,-10.0,1995.36,14088.846
340,-21.0,-16.35,-10.0,2007.07,14079.995
341,-21.0,-16.32,-10.0,2014.91,14081.384
342,-21.0,-16.31,-10.0,2016.58,14078.987
343,-21.0,-16.3,-10.0,2021.52,14090.893
344,-21.0,-16.33,-10.0,2020.27,14106.714
345,-21.0,-16.29,-10.0,2026.24,14115.751
346,-21.0,-16.29,-10.0,2026.24,14121.042
347,-20.0,-16.23,-10.0,2033.83,14113.453
348,-20.0,-16.23,-10.0,2034.58,14106.483
349,-20.0,-16.25,-10.0,2035.6,14109.141
350,-20.0,-16.19,-10.0,2042.23,14113.6
351,-20.0,-16.15,-10.0,2046.47,14107.116
352,-20.0,-16.17,-10.0,2042.67,14109.934
353,-20.0,-16.15,-10.0,2044.52,14109.83
354,-20.0,-16.12,-10.0,2047.78,14098.554
355,-20.0,-16.13,-10.0,2043.32,14087.454
356,-20.0,-16.21,-10.0,2040.44,14076.262
357,-20.0,-16.16,-10.0,2049.67,14080.196
358,-20.0,-16.17,-10.0,2051.1,14083.376
359,-20.0,-16.17,-10.0,2050.42,14086.729
360,-20.0,-16.13,-10.0,2058.06,14088.071
361,-20.0,-16.12,-10.0,2059.26,14094.061
362,-20.0,-16.07,-10.0,2067.34,14094.839
363,-20.0,-16.07,-10.0,2065.33,14092.417
364,-20.0,-16.09,-11.0,2060.83,14093.492
365,-20.0,-16.1,-11.0,2064.51,14100.916
366,-20.0,-16.1,-11.0,2064.24,14108.664
367,-20.0,-16.02,-11.0,2075.11,14108.851
368,-20.0,-16.02,-11.0,2077.78,14111.128
369,-20.0,-15.92,-11.0,2086.6,14108.325
370,-20.0,-15.84,-11.0,2093.06,14105.521
371,-20.0,-15.89,-11.0,2087.43,14102.769
372,-20.0,-15.89,-11.0,2088.99,14097.139
373,-20.0,-15.89,-11.0,2088.87,14096.778
374,-20.0,-15.84,-11.0,2087.95,14100.744
375,-20.0,-15.85,-11.0,2088.64,14099.432
376,-20.0,-15.92,-11.0,2082.49,14101.67
377,-20.0,-15.9,-11.0,2086.31,14096.252
378,-20.0,-15.9,-11.0,2084.79,14088.203
379,-20.0,-15.88,-11.0,2086.72,14078.749
380,-20.0,-15.93,-11.0,2077.21,14082.296
381,-20.0,-15.94,-11.0,2076.32,14083.986
382,-20.0,-15.94,-11.0,2076.32,14090.949
383,-20.0,-15.96,-11.0,2067.31,14096.143
384,-20.0,-15.94,-11.0,2072.13,14092.304
385,-20.0,-16.03,-11.0,2064.88,14091.474
386,-20.0,-15.96,-11.0,2065.08,14100.754
387,-20.0,-15.97,-11.0,2067.06,14102.881
388,-20.0,-16.0,-11.0,2065.56,14115.275
389,-20.0,-16.05,-11.0,2063.38,14131.291
390,-20.0,-16.03,-11.0,2063.96,14116.029
391,-20.0,-16.07,-11.0,2056.85,14119.15
392,-20.0,-16.07,-11.0,2054.28,14121.632
393,-20.0,-16.1,-11.0,2049.24,14109.822
394,-20.0,-16.13,-11.0,2040.79,14111.589
395,-20.0,-16.15,-11.0,2042.55,14102.967
396,-20.0,-16.16,-11.0,2041.8,14088.57
397,-20.0,-16.11,-11.0,2046.98,14091.145
398,-20.0,-16.08,-11.0,2047.06,14091.473
399,-20.0,-16.09,-11.0,2035.78,14083.957
400,-20.0,-16.08,-11.0,2033.35,14085.911
401,-20.0,-16.01,-11.0,2039.31,14088.376
402,-20.0,-16.05,-11.0,2038.34,14084.698
403,-20.0,-16.08,-11.0,2034.5,14087.814
404,-20.0,-16.07,-12.0,2033.72,14080.22
405,-20.0,-16.12,-12.0,2028.94,14083.841
406,-20.0,-16.13,-12.0,2030.87,14081.756
407,-20.0,-16.13,-12.0,2025.63,14083.5
408,-20.0,-16.16,-12.0,2017.89,14073.734
409,-20.0,-16.25,-12.0,2006.45,14076.637
410,-20.0,-16.25,-12.0,2006.45,14088.336
411,-20.0,-16.19,-12.0,2015.19,14087.205
412,-20.0,-16.22,-12.0,2011.29,14074.523
413,-20.0,-16.12,-12.0,2021.76,14086.648
414,-20.0,-16.04,-12.0,2030.5,14099.226
415,-20.0,-16.07,-12.0,2026.25,14101.41
416,-20.0,-16.01,-12.0,2038.08,14108.143
417,-20.0,-16.07,-12.0,2033.24,14102.616
418,-20.0,-16.04,-12.0,2032.79,14101.864
419,-20.0,-15.98,-12.0,2033.38,14103.703
420,-20.0,-15.98,-12.0,2033.38,14095.808
421,-20.0,-16.05,-12.0,2027.38,14091.767
422,-20.0,-16.05,-12.0,2035.96,14098.955
423,-20.0,-16.06,-12.0,2038.38,14091.409
424,-20.0,-16.01,-12.0,2047.53,14083.021
425,-20.0,-16.01,-12.0,2052.39,14076.698
426,-20.0,-16.0,-12.0,2056.35,14076.732
427,-20.0,-15.97,-12.0,2063.27,14078.041
428,-20.0,-15.97,-12.0,2063.69,14074.779
429,-20.0,-16.0,-12.0,2058.94,14074.542
430,-20.0,-15.97,-12.0,2060.57,14078.178
431,-20.0,-15.95,-12.0,2059.99,14080.534
432,-20.0,-15.9,-12.0,2064.77,14078.597
433,-20.0,-15.9,-12.0,2067.33,14072.265
434,-20.0,-15.81,-12.0,2084.49,14070.686
435,-20.0,-15.85,-12.0,2081.24,14076.428
436,-20.0,-15.87,-12.0,2084.2,14076.872
437,-20.0,-15.89,-12.0,2084.17,14082.516
438,-20.0,-15.87,-12.0,2090.43,14094.582
439,-20.0,-15.77,-10.0,2098.11,14102.713
440,-20.0,-15.81,-10.0,2099.08,14097.013
441,-20.0,-15.86,-10.0,2096.33,14094.633
442,-21.0,-15.9,-10.0,2102.55,14101.191
443,-21.0,-15.9,-10.0,2102.55,14099.843
444,-21.0,-15.94,-10.0,2105.33,14107.169
445,-21.0,-15.95,-10.0,2105.5,14104.404
446,-21.0,-15.95,-10.0,2104.11,14111.162
447,-21.0,-15.91,-10.0,2110.13,14107.123
448,-21.0,-15.94,-10.0,2104.82,14105.04
449,-21.0,-15.87,-10.0,2109.7,14090.725
450,-21.0,-15.86,-10.0,2112.58,14100.875
451,-21.0,-15.85,-10.0,2113.46,14104.628
452,-21.0,-15.87,-10.0,2116.12,14099.982
453,-21.0,-15.9,-10.0,2107.42,14106.971
454,-21.0,-15.94,-10.0,2100.05,14107.244
455,-21.0,-15.95,-10.0,2100.24,14110.197
456,-21.0,-16.0,-10.0,2093.96,14105.029
457,-21.0,-16.07,-10.0,2083.39,14102.591
458,-21.0,-16.08,-10.0,2081.4,14096.658
459,-21.0,-16.18,-10.0,2069.68,14095.702
460,-21.0,-16.17,-10.0,2071.65,14093.081
461,-21.0,-16.26,-10.0,2064.64,14091.735
462,-21.0,-16.32,-10.0,2065.83,14105.777
463,-21.0,-16.3,-10.0,2068.84,14106.63
464,-21.0,-16.28,-10.0,2067.19,14096.254
465,-21.0,-16.31,-10.0,2060.69,14091.85
466,-21.0,-16.36,-10.0,2058.35,14086.935
467,-21.0,-16.33,-10.0,2054.6,14095.832
468,-21.0,-16.37,-10.0,2055.93,14093.026
469,-21.0,-16.38,-10.0,2054.93,14097.825
470,-21.0,-16.33,-10.0,2061.95,14094.038
471,-21.0,-16.32,-10.0,2067.05,14095.031
472,-21.0,-16.3,-10.0,2068.75,14086.825
473,-21.0,-16.31,-10.0,2068.19,14091.322
474,-21.0,-16.27,-10.0,2065.11,14105.404
475,-21.0,-16.26,-10.0,2068.42,14109.13
