n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean,learn_time_ms
461,-21.0,-18.13,-14.0,2059.33,17043.889
462,-21.0,-18.16,-14.0,2051.54,17049.224
463,-21.0,-18.16,-14.0,2051.54,17073.685
464,-21.0,-18.15,-14.0,2054.35,17090.494
465,-21.0,-18.19,-14.0,2059.53,17106.302
466,-21.0,-18.21,-14.0,2057.44,17123.388
467,-21.0,-18.18,-14.0,2067.16,17144.633
468,-21.0,-18.17,-14.0,2074.81,17125.92
469,-21.0,-18.15,-14.0,2079.56,17122.753
470,-21.0,-18.15,-14.0,2079.56,17096.934
471,-21.0,-18.13,-14.0,2084.19,17064.916
472,-21.0,-18.17,-14.0,2078.21,17041.713
473,-21.0,-18.08,-13.0,2088.39,17015.779
474,-21.0,-18.13,-13.0,2086.4,17008.955
475,-21.0,-18.15,-13.0,2088.41,17017.319
476,-21.0,-18.23,-13.0,2089.52,17017.955
477,-21.0,-18.24,-13.0,2085.53,17015.318
478,-21.0,-18.23,-13.0,2086.99,17037.798
479,-21.0,-18.26,-13.0,2092.67,17039.337
480,-21.0,-18.23,-13.0,2095.08,17070.189
481,-21.0,-18.22,-13.0,2097.94,17092.926
482,-21.0,-18.27,-13.0,2088.04,17126.421
483,-21.0,-18.24,-13.0,2090.01,17159.843
484,-21.0,-18.22,-13.0,2097.23,17176.811
485,-21.0,-18.21,-13.0,2102.64,17196.715
486,-21.0,-18.16,-13.0,2106.23,17209.837
487,-21.0,-18.19,-13.0,2106.83,17243.288
488,-21.0,-18.19,-13.0,2111.77,17246.245
489,-21.0,-18.17,-13.0,2117.81,17272.959
490,-21.0,-18.13,-13.0,2117.95,17297.836
491,-21.0,-18.14,-13.0,2117.84,17308.44
492,-21.0,-18.18,-13.0,2114.91,17294.491
493,-21.0,-18.21,-13.0,2110.44,17301.027
494,-21.0,-18.17,-13.0,2103.89,17314.063
495,-21.0,-18.2,-13.0,2104.74,17269.502
496,-21.0,-18.11,-13.0,2114.28,17257.47
497,-21.0,-18.04,-13.0,2126.31,17226.158
498,-21.0,-18.04,-13.0,2116.31,17188.948
499,-21.0,-17.97,-13.0,2116.8,17162.06
500,-21.0,-17.98,-13.0,2117.36,17135.288
501,-21.0,-17.96,-13.0,2126.81,17102.715
502,-21.0,-17.96,-13.0,2128.36,17085.177
503,-21.0,-18.0,-13.0,2127.78,17043.623
504,-21.0,-18.0,-13.0,2124.38,17011.398
505,-21.0,-18.02,-13.0,2120.84,17013.316
506,-21.0,-18.01,-13.0,2129.64,17030.507
507,-21.0,-18.01,-13.0,2125.6,17035.488
508,-21.0,-18.01,-13.0,2130.19,17057.424
509,-21.0,-18.01,-13.0,2130.55,17066.87
510,-21.0,-18.01,-13.0,2133.92,17071.465
